trial,t_HS_1,t_FO_1,t_HS_2,t_FO_2
K1L_sd_02,9.95,10.23,11.43,11.6
K1L_sd_03,7.46,7.69,9.0,9.14
K1L_sd_04,7.82,8.01,9.29,9.45
K1L_sd_05,7.8,7.98,9.16,9.31
K1L_rd_04,5.94,6.12,7.28,7.45
K1L_rd_05,6.89,6.99,8.36,8.54
K1L_rd_06,8.72,8.95,10.03,10.21
K1L_rd_08,7.13,7.28,8.48,8.64
K1L_rd_09,7.41,7.6,8.74,8.93
K1L_sd_01,7.93,8.18,9.41,9.55
K2L_rd_01,6.09,6.3,7.5,7.69
K2L_rd_02,6.59,6.77,8.18,8.38
K2L_rd_04,6.07,6.24,7.45,7.64
K2L_rd_05,6.85,7.08,8.22,8.4
K2L_rd_06,6.59,6.78,8.09,8.28
K2L_sd_01,6.63,6.9,8.25,8.43
K2L_sd_02,7.03,7.3,8.58,8.73
K2L_sd_03,6.59,6.86,8.1,8.28
K2L_sd_04,5.74,6.02,7.53,7.7
K2L_sd_06,5.94,6.25,7.67,7.86
K3R_rd_01,8.12,8.31,9.13,9.34
K3R_rd_02,8.16,8.44,9.32,9.57
K3R_sd_01,7.35,7.58,9.76,9.95
K3R_sd_02,7.33,7.27,10.87,11.05
K3R_sd_04,7.11,7.46,9.42,9.62
K3R_sd_05,7.28,7.58,9.89,10.07
K3R_sd_06,6.49,6.85,9.38,9.6
K5R_rd_04,7.97,8.19,9.29,9.49
K5R_rd_05,7.48,7.69,9.1,9.31
K5R_rd_06,6.9,7.17,8.4,8.58
K5R_rd_07,7.49,7.76,9.14,9.28
K5R_rd_08,7.34,7.61,9.15,9.34
K5R_sd_01,8.73,9.04,10.5,10.75
K5R_sd_02,7.55,7.79,9.18,9.36
K5R_sd_03,6.55,6.74,8.34,8.64
K5R_sd_04,6.72,6.99,8.52,8.77
K5R_sd_05,6.98,7.29,8.69,8.93
K7L_rd_01,5.89,6.08,7.17,7.32
K7L_rd_02,6.24,6.48,7.6,7.79
K7L_rd_03,6.23,6.45,7.56,7.73
K7L_rd_04,10.26,10.52,11.64,11.83
K7L_rd_05,5.32,5.57,6.65,6.82
K7L_rd_06,6.45,6.7,7.8,7.98
K7L_sd_01,7.6,7.9,9.15,9.32
K7L_sd_02,5.65,5.96,7.21,7.36
K7L_sd_03,5.99,6.26,7.61,7.76
K7L_sd_04,6.57,6.87,8.4,8.57
K7L_sd_05,6.47,6.8,8.11,8.24
K7L_sd_07,8.16,8.64,9.89,10.1
K8L_rd_05,5.52,5.76,7.06,7.27
K8L_rd_06,7.36,7.57,8.86,9.08
K8L_rd_07,6.56,6.82,8.12,8.35
K8L_rd_08,6.23,6.42,7.84,8.03
K8L_rd_09,6.01,6.27,7.55,7.77
K8L_sd_01,6.26,6.65,8.23,8.46
K8L_sd_02,6.95,7.21,8.72,8.96
K8L_sd_03,6.35,6.67,8.18,8.41
K8L_sd_04,6.97,7.28,8.73,8.93
K8L_sd_05,6.16,6.44,8.01,8.23
K8L_sd_06,7.0,7.35,9.07,9.29
